                  authorA	                  authorB	        authorC	Sup(A,B,C)	Sup(A)	Sup(B)	Sup(C)	Con(A)	Con(B)	Con(C)	MinCon	MaxCon
        Yoshitaka Shibata	            Noriki Uchida	               	       149	   360	   167	     0	0.4139	0.8922	0.0000	0.4139	0.8922
          Louise E. Moser	      P. M. Melliar-Smith	               	       149	   186	   169	     0	0.8011	0.8817	0.0000	0.8011	0.8817
        Tetsuya Takiguchi	              Yasuo Ariki	               	       149	   176	   240	     0	0.8466	0.6208	0.0000	0.6208	0.8466
              Weiwei Yang	              Yueming Cai	               	       149	   233	   300	     0	0.6395	0.4967	0.0000	0.4967	0.6395
               Pui-In Mak	        Rui Paulo Martins	               	       148	   174	   338	     0	0.8506	0.4379	0.0000	0.4379	0.8506
             Hideo Bannai	          Masayuki Takeda	Shunsuke Inenaga	       148	   225	   241	   249	0.6578	0.6141	0.5944	0.5944	0.6578
              Eric Rogers	      Krzysztof Galkowski	               	       147	   261	   184	     0	0.5632	0.7989	0.0000	0.5632	0.7989
             Chunhong Pan	            Shiming Xiang	               	       147	   274	   193	     0	0.5365	0.7617	0.0000	0.5365	0.7617
       Hironori Washizaki	        Yoshiaki Fukazawa	               	       147	   217	   219	     0	0.6774	0.6712	0.0000	0.6712	0.6774
          Heang-Ping Chan	     Lubomir M. Hadjiiski	               	       146	   171	   148	     0	0.8538	0.9865	0.0000	0.8538	0.9865
             Guido Boella	Leendert W. N. van der Torre	               	       146	   265	   318	     0	0.5509	0.4591	0.0000	0.4591	0.5509
             Nader Karimi	          Shadrokh Samavi	               	       145	   152	   182	     0	0.9539	0.7967	0.0000	0.7967	0.9539
        Tomohiro Tanikawa	            Takuji Narumi	               	       145	   192	   180	     0	0.7552	0.8056	0.0000	0.7552	0.8056
        Tomohiro Tanikawa	            Takuji Narumi	Michitaka Hirose	       145	   192	   180	   353	0.7552	0.8056	0.4108	0.4108	0.8056
       Masahiko Tsukamoto	           Tsutomu Terada	               	       145	   220	   197	     0	0.6591	0.7360	0.0000	0.6591	0.7360
            Ignacio Rojas	            Hctor Pomares	               	       144	   221	   192	     0	0.6516	0.7500	0.0000	0.6516	0.7500
           Suzette McLeod	              John McLeod	               	       143	   144	   164	     0	0.9931	0.8720	0.0000	0.8720	0.9931
